"","Year","Round","Seed1","Score1","Team1","Team2","Score2","Seed2"
"155",2011,1,5,66,"Vanderbilt","Richmond",69,12
"156",2011,1,6,56,"Georgetown","VCU",74,11
"157",2011,1,7,50,"Texas A&M","Florida St",57,10
"158",2011,1,6,71,"St Johns","Gonzaga",86,11
"159",2012,1,2,70,"Duke","Lehigh",75,15
"160",2012,1,5,59,"Wichita St","VCU",62,12
"161",2012,1,6,64,"UNLV","Colorado",68,11
"162",2012,1,7,63,"Notre Dame","Xavier",67,10
"163",2012,1,2,84,"Missouri","Norfolk St",86,15
"164",2012,1,4,60,"Michigan","Ohio",65,13
"165",2012,1,5,44,"Temple","South Florida",58,12
"166",2012,1,6,65,"San Diego St","NC State",79,11
"167",2012,1,7,69,"St Marys","Purdue",72,10
"168",2013,1,5,55,"Oklahoma St","Oregon",68,12
"169",2013,1,3,62,"New Mexico","Harvard",68,14
"170",2013,1,4,61,"Kansas St","La Salle",63,13
"171",2013,1,5,46,"Wisconsin","Ole Miss",57,12
"172",2013,1,7,58,"Notre Dame","Iowa St",76,10
"173",2013,1,2,68,"Georgetown","Florida Gulf Coast",78,15
"174",2013,1,6,63,"UCLA","Minnesota",83,11
"175",2013,1,5,61,"UNLV","California",64,12
"176",2014,1,5,75,"VCU","Stephen F Austin",77,12
"177",2014,1,6,59,"Ohio St","Dayton",60,11
"178",2014,1,7,53,"New Mexico","Stanford",58,10
"179",2014,1,5,57,"Cincinnati","Harvard",61,12
"180",2014,1,5,75,"Oklahoma","North Dakota St",80,12
"181",2014,1,3,71,"Duke","Mercer",78,14
"182",2014,1,6,67,"Massachusetts","Tennessee",86,11
"183",2015,1,3,56,"Baylor","Georgia St",57,14
"184",2015,1,7,72,"VCU","Ohio St",75,10
"185",2015,1,6,53,"Providence","Dayton",66,11
"186",2015,1,3,59,"Iowa St","UAB",60,14
"187",2015,1,6,59,"SMU","UCLA",60,11
"188",2016,1,4,66,"California","Hawaii",77,13
"189",2016,1,6,55,"Arizona","Wichita St",65,11
"190",2016,1,5,75,"Baylor","Yale",79,12
"191",2016,1,6,72,"Texas","Northern Iowa",75,11
"192",2016,1,7,67,"Oregon St","VCU",75,10
"193",2016,1,3,56,"West Virginia","Stephen F Austin",70,14
"194",2016,1,2,81,"Michigan St","Middle Tennessee St",90,15
"195",2016,1,5,83,"Purdue","Arkansas Little Rock",85,12
"196",2016,1,6,52,"Seton Hall","Gonzaga",68,11
"197",2016,1,7,51,"Dayton","Syracuse",70,10
"198",2017,1,6,65,"SMU","USC",66,11
"199",2017,1,6,65,"Maryland","Xavier",76,11
"200",2017,1,6,72,"Creighton","Rhode Island",84,11
"201",2017,1,5,72,"Minnesota","Middle Tennessee St",81,12
"202",2017,1,7,58,"Dayton","Wichita St",64,10
"203",2018,1,1,54,"Virginia","UMBC",74,16
"204",2018,1,4,68,"Arizona","Buffalo",89,13
"205",2018,1,6,62,"Miami","Loyola Chicago",64,11
"206",2018,1,4,75,"Wichita St","Marshall",81,13
"207",2018,1,7,62,"Arkansas","Butler",79,10
"208",2018,1,6,52,"TCU","Syracuse",57,11
"209",2019,1,5,76,"Mississippi St","Liberty",80,12
"210",2019,1,7,76,"Louisville","Minnesota",86,10
"211",2019,1,5,64,"Marquette","Murray St",83,12
"212",2019,1,7,61,"Nevada","Florida",70,10
"213",2019,1,4,64,"Kansas St","UC Irvine",70,13
"214",2019,1,5,54,"Wisconsin","Oregon",72,12
"215",2019,1,7,72,"Cincinnati","Iowa",79,10
"216",2019,1,6,59,"Iowa St","Ohio St",62,11
"217",2021,1,2,72,"Ohio State","Oral Roberts",75,15
"218",2021,1,3,52,"Texas","Abilene Christian",53,14
"219",2021,1,4,58,"Virginia","Ohio",62,13
"220",2021,1,4,69,"Purdue","North Texas",78,13
"221",2021,1,5,56,"Tennessee","Oregon St",70,12
"222",2021,1,6,62,"BYU","UCLA",73,11
"223",2021,1,6,62,"San Diego St","Syracuse",78,11
"224",2021,1,7,54,"Connecticut","Maryland",63,10
"225",2021,1,7,56,"Clemson","Rutgers",60,10
