"","Year","Round","Region Number","Region Name","Seed1","Score1","Team1","Team2","Score2","Seed2"
"198",1991,1,1,"West",6,56,"New Mexico St","Creighton",64,11
"199",1991,1,1,"West",7,48,"Virginia","BYU",61,10
"200",1991,1,1,"West",8,70,"Georgetown","Vanderbilt",60,9
"201",1991,1,2,"Midwest",1,97,"Ohio St","Towson",86,16
"202",1991,1,2,"Midwest",2,102,"Duke","Louisiana Monroe",73,15
"203",1991,1,2,"Midwest",3,84,"Nebraska","Xavier",89,14
"204",1991,1,2,"Midwest",4,75,"St Johns","Northern Illinois",68,13
"205",1991,1,2,"Midwest",5,73,"Texas","St Peters",65,12
"206",1991,1,2,"Midwest",6,62,"LSU","Connecticut",79,11
"207",1991,1,2,"Midwest",7,76,"Iowa","East Tennessee St",73,10
"208",1991,1,2,"Midwest",8,87,"Georgia Tech","DePaul",70,9
"209",1991,1,3,"East",1,101,"North Carolina","Northeastern",66,16
"210",1991,1,3,"East",2,69,"Syracuse","Richmond",73,15
"211",1991,1,3,"East",3,67,"Oklahoma St","New Mexico",54,14
"212",1991,1,3,"East",4,69,"UCLA","Penn St",74,13
"213",1991,1,3,"East",5,56,"Mississippi St","Eastern Michigan",76,12
"214",1991,1,3,"East",6,114,"NC State","Southern Mississippi",85,11
"215",1991,1,3,"East",7,63,"Purdue","Temple",80,10
"216",1991,1,3,"East",8,48,"Princeton","Villanova",50,9
"217",1991,1,4,"Southeast",1,117,"Arkansas","Georgia St",76,16
"218",1991,1,4,"Southeast",2,79,"Indiana","Coastal Carolina",69,15
"219",1991,1,4,"Southeast",3,55,"Kansas","New Orleans",49,14
"220",1991,1,4,"Southeast",4,89,"Alabama","Murray St",79,13
"221",1991,1,4,"Southeast",5,71,"Wake Forest","Louisiana Tech",65,12
"222",1991,1,4,"Southeast",6,76,"Pittsburgh","Georgia",68,11
"223",1991,1,4,"Southeast",7,75,"Florida St","USC",72,10
"224",1991,1,4,"Southeast",8,79,"Arizona St","Rutgers",76,9
"225",1992,1,1,"Midwest",1,100,"Kansas","Howard",67,16
"226",1992,1,1,"Midwest",2,84,"USC","Louisiana Monroe",54,15
"227",1992,1,1,"Midwest",3,80,"Arkansas","Murray St",69,14
"228",1992,1,1,"Midwest",4,85,"Cincinnati","Delaware",47,13
"229",1992,1,1,"Midwest",5,61,"Michigan St","Southwest Missouri St",54,12
"230",1992,1,1,"Midwest",6,80,"Memphis","Pepperdine",70,11
"231",1992,1,1,"Midwest",7,65,"Georgia Tech","Houston",60,10
"232",1992,1,1,"Midwest",8,50,"Evansville","UTEP",55,9
"233",1992,1,2,"Southeast",1,83,"Ohio St","Mississippi Valley St",56,16
"234",1992,1,2,"Southeast",2,100,"Oklahoma St","Georgia Southern",73,15
"235",1992,1,2,"Southeast",3,80,"Arizona","East Tennessee St",87,14
"236",1992,1,2,"Southeast",4,68,"North Carolina","Miami Ohio",63,13
"237",1992,1,2,"Southeast",5,80,"Alabama","Stanford",75,12
"238",1992,1,2,"Southeast",6,73,"Michigan","Temple",66,11
"239",1992,1,2,"Southeast",7,57,"St Johns","Tulane",61,10
"240",1992,1,2,"Southeast",8,65,"Nebraska","Connecticut",86,9
"241",1992,1,3,"East",1,82,"Duke","Campbell",56,16
"242",1992,1,3,"East",2,88,"Kentucky","Old Dominion",69,15
"243",1992,1,3,"East",3,85,"Massachusetts","Fordham",58,14
"244",1992,1,3,"East",4,78,"Seton Hall","La Salle",76,13
"245",1992,1,3,"East",5,89,"Missouri","West Virginia",78,12
"246",1992,1,3,"East",6,51,"Syracuse","Princeton",43,11
"247",1992,1,3,"East",7,74,"Charlotte","Iowa St",76,10
"248",1992,1,3,"East",8,92,"Texas","Iowa",98,9
"249",1992,1,4,"West",1,73,"UCLA","Robert Morris",53,16
"250",1992,1,4,"West",2,94,"Indiana","Eastern Illinois",55,15
"251",1992,1,4,"West",3,78,"Florida St","Montana",68,14
"252",1992,1,4,"West",4,83,"Oklahoma","Louisiana Lafayette",87,13
"253",1992,1,4,"West",5,73,"DePaul","New Mexico St",81,12
"254",1992,1,4,"West",6,75,"Georgetown","South Florida",60,11
"255",1992,1,4,"West",7,94,"LSU","BYU",83,10
"256",1992,1,4,"West",8,81,"Louisville","Wake Forest",58,9
"257",1993,1,1,"Southeast",1,96,"Kentucky","Rider",52,16
"258",1993,1,1,"Southeast",2,81,"Seton Hall","Tennessee St",59,15
"259",1993,1,1,"Southeast",3,82,"Florida St","Evansville",70,14
"260",1993,1,1,"Southeast",4,82,"Iowa","Louisiana Monroe",69,13
"261",1993,1,1,"Southeast",5,81,"Wake Forest","Chattanooga",58,12
"262",1993,1,1,"Southeast",6,53,"Kansas St","Tulane",55,11
"263",1993,1,1,"Southeast",7,55,"Western Kentucky","Memphis",52,10
"264",1993,1,1,"Southeast",8,86,"Utah","Pittsburgh",85,9
