Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
241,Houston Baptist,TAAC,9,20,70.1,75.1,-4.97,-5.33,-8.97,-2.18,-11.14,1989
242,UNC Asheville,Big South,16,14,78.1,76.7,1.43,-7.84,-1.58,-9.61,-11.19,1989
243,Northern Illinois,Ind,11,17,79.9,84.6,-4.64,-4.02,-0.58,-10.63,-11.21,1989
244,Tennessee Tech,OVC,10,20,77.1,80.9,-3.77,-2.41,-2.26,-9.03,-11.29,1989
245,Monmouth,NEC,15,13,73.9,71.1,2.79,-11.63,-7.51,-4.2,-11.71,1989
246,Yale,Ivy,11,17,71.4,73,-1.54,-7.74,-7.1,-4.64,-11.74,1989
247,Western Illinois,Mid-Cont,9,19,66.9,75,-8.11,-1.14,-11.12,-0.72,-11.84,1989
248,U.S. International,Ind,11,17,89.3,96.2,-6.89,-2.44,9.61,-21.47,-11.86,1989
249,Mississippi Valley State,SWAC,8,20,75.4,78.1,-2.71,-7.06,-6.13,-5.81,-11.94,1989
250,Morgan State,MEAC,16,13,72.3,70.7,1.66,-12.16,-7.2,-4.81,-12.01,1989
251,Maryland-Baltimore County,Ind,17,11,75.8,76.6,-0.86,-9.08,-4.18,-7.98,-12.16,1989
252,Portland,WCAC,2,26,62,78.6,-16.64,4.68,-9.43,-3.01,-12.43,1989
253,Navy,CAA,6,22,65.6,73.5,-7.93,-4.57,-10.07,-2.43,-12.5,1989
254,Winthrop,Big South,16,13,69.3,65.1,4.17,-15.33,-16.73,3.48,-13.25,1989
255,Bethune-Cookman,MEAC,12,16,68.8,71.7,-2.89,-10.72,-14.35,0.74,-13.61,1989
256,Florida International,Ind,10,18,84.2,91.6,-7.43,-5.88,4.31,-17.97,-13.65,1989
257,Charleston Southern,Big South,12,16,75.8,75.4,0.39,-11.53,-7.12,-6.87,-13.99,1989
258,Manhattan,MAAC,7,21,63.1,71.8,-8.68,-5.59,-14.89,0.56,-14.33,1989
259,George Washington,A-10,1,27,68.4,81.5,-13.11,-1.31,-7.66,-6.76,-14.42,1989
260,North Carolina A&T,MEAC,9,18,72,75.5,-3.44,-11.72,-7.69,-6.95,-14.64,1989
261,Harvard,Ivy,11,15,72.5,76.9,-4.38,-8.66,-5.85,-8.88,-14.74,1989
262,Davidson,Ind,7,24,65.2,73.1,-7.97,-5.4,-13.76,-1.03,-14.79,1989
263,Radford,Big South,15,13,78.4,80.6,-2.18,-9.87,-4.95,-9.88,-14.83,1989
264,Cornell,Ivy,10,16,66.4,73.9,-7.54,-5.9,-10.79,-4.23,-15.02,1989
265,Nicholls State,Ind,12,16,70.9,74.9,-3.96,-8.35,-10.47,-4.63,-15.1,1989
266,Eastern Kentucky,OVC,7,22,65.4,75,-9.62,-3.87,-14.67,-0.61,-15.28,1989
267,New Hampshire,NAC,4,22,71,80.7,-9.73,-6.16,-5.88,-9.63,-15.51,1989
268,Saint Francis (PA),NEC,13,16,79,81.3,-2.24,-12.3,-3.89,-11.93,-15.82,1989
269,Hardin-Simmons,TAAC,8,19,65.4,73.9,-8.48,-4.1,-14.02,-1.86,-15.88,1989
270,Prairie View,SWAC,11,16,74.5,80.3,-5.78,-8.35,-8.99,-7.07,-16.07,1989
271,Tennessee State,OVC,4,24,70.2,80.5,-10.25,-4.64,-9.64,-6.51,-16.16,1989
272,Colgate,NAC,6,22,65.3,75.5,-10.14,-6.26,-11.6,-4.65,-16.26,1989
273,Youngstown State,Ind,5,23,75.3,84.4,-9.07,-3.36,-3.01,-13.64,-16.65,1989
274,Liberty,Ind,10,17,72,78.6,-6.59,-8.86,-8.13,-8.58,-16.7,1989
275,William & Mary,CAA,5,23,67,78.5,-11.43,-3.95,-10.94,-5.78,-16.72,1989
276,Vermont,NAC,6,21,67.8,77.9,-10.11,-6.44,-10.71,-6.13,-16.84,1989
277,Loyola (MD),NEC,10,18,81.9,85,-3.07,-11.61,-1.83,-15.43,-17.26,1989
278,Long Island University,NEC,9,19,74.3,79.1,-4.79,-11.89,-9.14,-8.34,-17.48,1989
279,Rider,ECC,5,23,71.7,82,-10.32,-5.5,-7.31,-10.19,-17.5,1989
280,Brown,Ivy,7,19,70.9,80.7,-9.77,-6.01,-7.61,-10.24,-17.84,1989
281,Howard,MEAC,9,19,65.1,69.4,-4.32,-12.62,-17.92,0.01,-17.91,1989
282,St. Francis (NY),NEC,14,16,68.9,69.5,-0.63,-13.22,-9.9,-8.64,-18.54,1989
283,Central Florida,Ind,7,20,74,84.3,-10.33,-5.46,-5.02,-13.88,-18.89,1989
284,Northern Arizona,Big Sky,2,25,60.3,78.1,-17.85,-1.57,-15.41,-4.02,-19.43,1989
285,Alcorn State,SWAC,5,23,67.7,81.9,-14.21,-4,-12.98,-6.64,-19.62,1989
286,Columbia,Ivy,8,18,66.4,74.4,-8.04,-8.81,-12.14,-7.71,-19.85,1989
287,Augusta State,Big South,5,23,75.3,85.6,-10.29,-7.09,-3.02,-17.23,-20.25,1989
288,Central Connecticut State,Ind,10,18,69.5,79.4,-9.93,-5.52,-10.89,-9.38,-20.27,1989
289,Delaware State,MEAC,11,17,84.2,90.1,-5.96,-13.27,2.3,-23.74,-21.44,1989
290,Wagner,NEC,11,16,75.1,84,-8.89,-11.93,-6.53,-15,-21.53,1989
291,Southeastern Louisiana,Ind,3,24,59.2,73.7,-14.44,-8.1,-20.84,-2.93,-23.77,1989
292,Maryland-Eastern Shore,MEAC,1,26,73.7,94.1,-20.37,-10.08,-7.9,-21.99,-29.89,1989
293,Brooklyn,Ind,4,23,66.8,82.4,-15.63,-8.46,-17.61,-13.39,-31,1989
