"","Year","Round","Seed1","Score1","Team1","Team2","Score2","Seed2","W1","L1","Pts1","Opp1","MOV1","SOS1","OSRS1","DSRS1","SRS1","W2","L2","Pts2","Opp2","MOV2","SOS2","OSRS2","DSRS2","SRS2"
"51",1994,1,5,102,"UCLA","Tulsa",112,12,21,7,86.1,76.5,9.54,6.77,14.15,2.16,16.31,23,8,83.4,73.2,10.26,2.5,8.82,2.11,10.93
"52",1994,1,7,66,"St Louis","Maryland",74,10,23,6,80.6,70.2,10.41,3.14,8.18,4.57,12.75,18,12,80,73.2,6.73,7.4,10.07,4.06,14.13
"53",1994,1,6,80,"Nebraska","Pennsylvania",90,11,20,10,87.3,80.6,6.7,6.86,15.14,-1.58,13.56,25,3,76.4,64.3,12.14,-5.15,1.4,4.52,5.93
"54",1994,1,7,46,"UAB","George Washington",51,10,22,8,71.4,60.2,11.2,3.49,-1.29,15.98,14.69,18,12,69.3,66.4,2.9,6.27,-0.53,9.7,9.17
"55",1995,1,5,62,"Arizona","Miami Ohio",71,12,23,8,84.9,75.8,9.06,10.35,14.42,4.67,19.09,23,7,70.6,60.9,9.73,0.86,-2.78,12.89,10.1
"56",1995,1,3,72,"Michigan St","Weber St",79,14,22,6,78.4,68.8,9.57,7.92,9.29,8.2,17.49,21,9,77.3,70.5,6.8,3.42,4.4,3.95,8.35
"57",1995,1,4,67,"Oklahoma","Manhattan",77,13,23,9,81.7,73.6,8.13,7.1,10.19,5.03,15.22,26,5,75.3,62.2,13.03,-3.91,0.59,8.53,9.12
"58",1995,1,3,81,"Villanova","Old Dominion",89,14,25,8,78.4,70.1,8.36,8.3,8.34,8.05,16.39,21,12,77.2,74.3,2.88,1.28,3.03,1.13,4.16
"59",1995,1,7,68,"Charlotte","Stanford",70,10,19,9,74.5,68.8,5.71,3.56,3.74,5.54,9.28,20,9,79,73.1,5.86,7.24,7.21,5.89,13.11
"60",1995,1,6,73,"Oregon","Texas",90,11,19,9,85.2,80.4,4.75,10.64,15.28,-0.64,14.64,23,7,92.9,80.8,12.07,3.65,18.73,-3.01,15.72
"61",1996,1,4,41,"UCLA","Princeton",43,13,23,8,77.4,70.6,6.81,7.34,9.7,4.45,14.15,22,7,59.1,51.7,7.45,-4.15,-12.41,14.94,2.53
"62",1996,1,6,51,"Indiana","Boston College",64,11,19,12,75.8,69.1,6.68,10.88,10.05,7.56,17.61,19,11,78.2,70.5,7.7,9.23,9.35,7.58,16.93
"63",1996,1,5,63,"Memphis","Drexel",75,12,22,8,73.5,65.7,7.77,6.58,6.09,8.26,14.35,27,4,82.6,66.3,16.26,-5.05,7.24,3.75,10.99
"64",1996,1,7,79,"Maryland","Santa Clara",91,10,17,13,81.3,76.3,5.07,9.93,13.87,1.13,15,20,9,70.8,66.1,4.72,4.09,0.96,7.85,8.81
"65",1996,1,5,80,"Penn St","Arkansas",86,12,21,7,74.8,64.1,10.75,6.33,7.88,9.2,17.08,20,13,77.6,74,3.58,8.08,9.28,2.38,11.66
"66",1996,1,7,76,"Michigan","Texas",80,10,21,11,71.3,64.9,6.47,8.55,4.24,10.77,15.02,21,10,81.8,74.4,7.39,5.05,12.25,0.19,12.44
"67",1997,1,2,65,"South Carolina","Coppin St",78,15,24,8,74.1,66.7,7.44,7,8.93,6.16,15.09,22,9,79.1,72.5,6.58,-7.79,3.87,-5.08,-1.21
"68",1997,1,7,58,"Wisconsin","Texas",71,10,18,10,59.1,55.3,3.79,9.42,-4.87,18.07,13.2,18,12,76.3,73.5,2.87,9.47,9.99,2.35,12.34
