Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
202,Nicholls State,Southland,19,10,76.8,75.7,1.17,-5.94,2.12,-7.45,-5.33,1998
203,Little Rock,Sun Belt,15,13,67.4,69,-1.57,-2.8,-4.74,-0.66,-5.39,1998
204,Georgia State,TAAC (West),16,12,74.9,70,4.86,-8.9,-2.37,-3.03,-5.4,1998
205,Air Force,WAC (Mountain),10,16,68.2,69.7,-1.54,2.64,-4.61,-0.85,-5.45,1998
206,St. Francis (NY),NEC,15,12,71.4,69.6,1.85,-6.89,-3.23,-2.31,-5.54,1998
207,South Carolina State,MEAC,22,8,74.3,70,4.27,-10.23,-2.54,-3.11,-5.65,1998
208,Texas State,Southland,17,11,72.8,69.7,3.11,-8.21,-4.37,-1.28,-5.66,1998
209,UTSA,Southland,16,11,75.9,72.3,3.59,-9.77,-1.94,-3.99,-5.93,1998
210,Towson,AEC,8,20,63.7,66,-2.29,-3.7,-9.56,3.58,-5.98,1998
211,Saint Peter's,MAAC,8,19,69,72.3,-3.33,-2.85,-3.85,-2.34,-6.18,1998
212,Buffalo,Mid-Cont,15,13,74.9,72.6,2.32,-6.39,-1.37,-4.84,-6.2,1998
213,Eastern Washington,Big Sky,16,11,76,78.9,-2.85,-3.16,2.1,-8.3,-6.2,1998
214,George Mason,CAA,9,18,62.9,68.5,-5.67,-0.58,-5.35,-0.89,-6.24,1998
215,Northeastern,AEC,14,14,67.5,68.8,-1.25,-5.35,-5.84,-0.76,-6.6,1998
216,Southeast Missouri State,OVC,14,13,73.2,71.8,1.37,-5.53,-1,-5.61,-6.61,1998
217,Bucknell,Patriot,13,15,69.5,68.6,0.89,-6.82,-5.33,-1.49,-6.82,1998
218,Loyola Marymount,WCC,7,20,73.9,81.8,-7.96,1.45,3.29,-10.26,-6.97,1998
219,Marist,MAAC,11,17,69.3,72.9,-3.68,-3.52,-4.19,-3.01,-7.2,1998
220,Houston,CUSA (National),9,20,63.6,72.9,-9.34,3.06,-5.12,-2.15,-7.26,1998
221,UC Santa Barbara,Big West (West),7,19,71.6,76,-4.46,-0.31,-2.13,-5.35,-7.47,1998
222,Southern,SWAC,14,13,86.4,80.3,6.07,-11.14,6.33,-14.16,-7.83,1998
223,Jacksonville,Sun Belt,8,19,65.8,70.9,-5.07,-2.76,-5.51,-2.33,-7.84,1998
224,Cal Poly,Big West (West),14,14,84.5,85.6,-1.11,-3.48,10.2,-18.16,-7.96,1998
225,UC Irvine,Big West (West),9,18,62.3,69.5,-7.26,0.49,-9.04,0.97,-8.07,1998
226,Harvard,Ivy,13,13,69.7,68.9,0.81,-8.28,-3.13,-4.95,-8.08,1998
227,Louisiana-Monroe,Southland,13,16,78,83.9,-5.86,-4.34,2.64,-10.73,-8.09,1998
228,Western Illinois,Mid-Cont,16,11,71,70.2,0.81,-6.69,-5.88,-2.25,-8.13,1998
229,Cal State Long Beach,Big West (West),10,19,63.8,69.6,-5.79,-2.72,-9.96,1.45,-8.51,1998
230,The Citadel,Southern (South),15,13,64.9,62.2,2.68,-9.03,-10.59,2.07,-8.53,1998
231,Jackson State,SWAC,14,13,69.8,67.9,1.89,-6.84,-7.91,-0.68,-8.58,1998
232,Chattanooga,Southern (South),13,15,63.3,64.6,-1.36,-4.84,-8.94,0.23,-8.71,1998
233,Tennessee State,OVC,13,16,71.2,70.7,0.48,-5.71,-5.65,-3.69,-9.34,1998
234,Samford,TAAC (West),14,13,68.9,67,1.93,-10.33,-8.48,-1.02,-9.5,1998
235,Yale,Ivy,12,14,65.1,67,-1.88,-6.79,-7.43,-2.29,-9.71,1998
236,Colgate,Patriot,10,18,74.1,77.1,-2.96,-6.77,-0.3,-9.44,-9.74,1998
237,Texas Southern,SWAC,15,16,75.1,76,-0.94,-7.33,-0.71,-9.1,-9.81,1998
238,Milwaukee,MW Coll,3,24,61.1,73,-11.85,1.97,-7.02,-2.87,-9.89,1998
239,North Texas,Big West (East),5,21,76.6,90.5,-13.92,4.03,6.93,-16.82,-9.89,1998
240,Northwestern State,Southland,13,14,73.8,74,-0.19,-7.78,-4.25,-5.81,-10.06,1998
