"","Year","Seed1","Score1","Team1","Team2","Score2","Seed2","W1","L1","Pts1","Opp1","MOV1","SOS1","OSRS1","DSRS1","SRS1","W2","L2","Pts2","Opp2","MOV2","SOS2","OSRS2","DSRS2","SRS2","Upset","WP1","WP2","upsetMOV","seedDiff"
"62",1987,6,74,"Oklahoma","Tulsa",69,11,24,10,89.1,80.1,8.94,7.89,20.42,-3.63,16.8,22,8,69.9,63.5,6.43,3.14,-0.41,9.91,9.5,0,0.71,0.73,-5,5
"63",1987,7,98,"UTEP","Arizona",91,10,25,7,77.4,69,8.47,2.6,7.2,3.78,10.99,18,12,75.6,68.8,6.8,6.63,6.55,6.94,13.49,0,0.78,0.6,-7,3
"64",1987,1,92,"Indiana","Fairfield",58,16,30,4,82.5,70.9,11.59,9.1,13.88,6.82,20.69,15,16,65.8,66.5,-0.65,-3.17,-6.89,2.98,-3.91,0,0.88,0.48,-34,15
"65",1987,2,75,"Temple","Southern",56,15,32,4,74.9,64.7,10.22,2.9,3.41,9.77,13.18,19,12,87.3,65.7,21.61,-8.79,10.86,-13.64,-2.79,0,0.89,0.61,-19,13
"66",1987,3,76,"DePaul","Louisiana Tech",62,14,28,3,76.2,62.5,13.68,2.66,6.75,9.55,16.31,22,8,71.8,66,5.8,3.06,0.05,6.97,7.02,0,0.9,0.73,-14,11
"67",1987,4,69,"Missouri","Xavier",70,13,24,10,74.2,68.7,5.44,6.37,5.41,5.9,11.31,19,13,79,74.3,4.66,-0.17,4.08,-2.32,1.75,1,0.71,0.59,1,9
"68",1987,5,58,"Duke","Texas A&M",51,12,24,9,77.2,67.3,9.88,7.17,7.64,9.18,16.82,17,14,67,65,1.94,3.35,-1.54,6.89,5.35,0,0.73,0.55,-7,7
"69",1987,6,57,"St Johns","Wichita St",55,11,21,9,69.8,64.6,5.17,7.26,-0.76,13.22,12.46,22,11,68,64,4.03,3.32,-1.98,9.1,7.13,0,0.7,0.67,-2,5
"70",1987,7,79,"Georgia Tech","LSU",85,10,16,13,70.7,68.5,2.24,8.99,2.57,8.66,11.23,24,15,71.4,68.3,3.08,10.58,2.63,9.26,11.89,1,0.55,0.62,6,3
"71",1987,1,75,"Georgetown","Bucknell",53,16,29,5,77.8,64.2,13.53,8.02,5.39,11.8,17.19,22,9,79,75.1,3.87,-7.03,0.83,-7.11,-6.28,0,0.85,0.71,-22,15
"72",1987,2,88,"Alabama","North Carolina A&T",71,15,28,5,80,69.9,10.12,8.98,12.33,7.08,19.41,24,6,74.6,63.1,11.5,-12.2,-3.24,2.58,-0.66,0,0.85,0.8,-17,13
"73",1987,3,67,"Illinois","Austin Peay",68,14,23,8,80.3,70.4,9.87,8.66,10.38,7.67,18.05,20,12,80.3,76.6,3.69,0.51,4.01,-1.42,2.58,1,0.74,0.62,1,11
"74",1987,5,66,"Kansas","Houston",55,12,25,11,73.7,67.7,6,7.71,3.99,9.35,13.33,18,12,67.9,60.6,7.33,4.5,-1.26,13.08,11.82,0,0.69,0.6,-11,7
"75",1987,6,90,"Providence","UAB",68,11,25,9,86.6,77.1,9.41,5.47,17.06,-1.94,15.11,21,11,75.8,72.6,3.22,4.2,3.77,0.86,4.63,0,0.74,0.66,-22,5
"76",1987,7,83,"New Orleans","BYU",79,10,26,4,81.7,69.8,11.9,-0.8,9.58,1.55,11.13,21,11,82.3,77.2,5.16,4.2,11.24,-1.57,9.67,0,0.87,0.66,-4,3
"77",1987,1,113,"North Carolina","Pennsylvania",82,16,32,4,91.3,74.9,16.39,8.71,21.94,2.54,24.48,13,14,78.9,79.3,-0.41,0.08,5.11,-5.44,-0.33,0,0.89,0.48,-31,15
"78",1987,2,79,"Syracuse","Georgia Southern",73,15,31,7,82.8,72.8,9.97,8.23,13,4.98,17.98,20,11,70.7,67.7,2.97,-6.05,-7.17,2.74,-4.43,0,0.82,0.65,-6,13
"79",1987,3,104,"Purdue","Northeastern",95,14,25,5,81.7,70.6,11.07,8.11,12.02,6.12,18.14,27,7,83.6,74.8,8.74,-2.22,8.36,-4.36,4.01,0,0.83,0.79,-9,11
"80",1987,4,76,"TCU","Marshall",60,13,24,7,70.9,63.6,7.26,5.66,3.47,9.35,12.83,25,6,80.5,72.8,7.61,-4.96,5.96,-3.31,2.65,0,0.77,0.81,-16,9
"81",1987,5,84,"Notre Dame","Middle Tennessee St",71,12,24,8,65.1,59.4,5.66,6.03,-5.45,17.17,11.72,22,7,85.8,77.4,8.31,-2.45,8.53,-4.86,3.67,0,0.75,0.76,-13,7
"82",1987,6,82,"Florida","NC State",70,11,23,11,84.2,71.9,12.35,8.16,15.83,4.54,20.37,20,15,77.5,74.8,2.71,8.08,8.31,2.71,11.03,0,0.68,0.57,-12,5
"83",1987,7,62,"West Virginia","Western Kentucky",64,10,23,8,68.7,60.7,7.97,2.22,-2.5,12.69,10.18,29,9,78.7,67.9,10.74,2.45,7.43,5.48,12.91,1,0.74,0.76,2,3
"84",1988,1,94,"Purdue","Fairleigh Dickinson",79,16,29,4,84.6,71.5,13.03,8.86,14.92,6.91,21.83,23,7,76.7,70.5,6.17,-10.37,-3.33,-0.79,-4.12,0,0.88,0.77,-15,15
"85",1988,2,108,"Pittsburgh","Eastern Michigan",90,15,24,7,79.8,71,8.81,8.15,10.88,6.08,16.96,22,8,82.6,77.3,5.27,-1.82,5.88,-4.26,1.63,0,0.77,0.73,-18,13
"86",1988,3,75,"NC State","Murray St",78,14,24,7,85.7,74.1,11.61,6.53,12.31,5.02,17.34,22,9,76.3,68.2,8.1,-0.97,-1.23,5.83,4.61,1,0.77,0.71,3,11
"87",1988,4,66,"Kansas St","La Salle",53,13,25,9,75.4,68,7.44,10.14,3.31,12.49,15.79,24,10,77.4,69.6,7.82,-1.58,2.83,2.74,5.57,0,0.74,0.71,-13,9
"88",1988,5,83,"DePaul","Wichita St",62,12,22,8,78.9,70.1,8.8,3.23,6.83,5.2,12.03,20,10,75.4,69.2,6.13,2.01,2.55,4.94,7.49,0,0.73,0.67,-21,7
"89",1988,6,85,"Kansas","Xavier",72,11,27,11,75.3,67.9,7.42,10.77,2.54,13.17,15.71,26,4,94.7,79.5,15.17,-4.2,18.46,-8.62,9.84,0,0.71,0.87,-13,5
"90",1988,7,80,"Vanderbilt","Utah St",77,10,20,11,78.7,72.8,5.94,7.94,10.11,3.77,13.88,21,10,83.6,78.1,5.55,5.93,13.39,-1.91,11.48,0,0.65,0.68,-3,3
"91",1988,1,87,"Temple","Lehigh",73,16,32,2,76.8,61.2,15.62,2.99,4.45,14.17,18.61,21,10,82,75.1,6.9,-6.25,4.43,-6.03,-1.59,0,0.94,0.68,-14,15
"92",1988,2,85,"Duke","Boston University",69,15,28,7,83.8,68.8,14.94,8.38,14.74,8.59,23.33,23,8,77.5,70.1,7.42,-7.04,1.17,-0.79,0.38,0,0.8,0.74,-16,13
"93",1988,3,69,"Syracuse","North Carolina A&T",55,14,26,9,84.7,70.5,14.26,8.55,15.14,7.52,22.66,26,3,81.4,67.5,13.9,-11.29,2.86,-0.04,2.83,0,0.74,0.9,-14,11
"94",1988,4,69,"Indiana","Richmond",72,13,19,10,78.8,70.9,7.83,9.66,9.39,8.1,17.48,26,7,69.4,65.9,3.45,-0.11,-4.34,8.3,3.95,1,0.66,0.79,3,9
"95",1988,5,90,"Georgia Tech","Iowa St",78,12,22,10,81.7,74,7.72,7.43,10.17,3.8,13.96,20,12,90.2,84.3,5.88,7.52,18.45,-5.77,12.68,0,0.69,0.62,-12,7
"96",1988,6,80,"Missouri","Rhode Island",87,11,19,11,87,78.2,8.8,9.13,13.92,3.88,17.8,28,7,86.5,76.8,9.71,0.22,13.9,-3.98,9.92,1,0.63,0.8,7,5
"97",1988,7,83,"SMU","Notre Dame",75,10,28,7,82.3,71.8,10.43,0.47,10.72,0.4,11.12,20,9,73,63.3,9.66,3.07,0.39,11.9,12.28,0,0.8,0.69,-8,3
"98",1988,1,90,"Arizona","Cornell",50,16,35,3,85.1,64.2,20.92,8.45,14.44,14.52,28.95,17,10,75.3,74.9,0.37,-4.77,-0.48,-4.98,-5.46,0,0.92,0.63,-40,15
"99",1988,2,83,"North Carolina","North Texas St",65,15,27,7,82.1,73.2,8.85,10.72,11.86,7.65,19.52,17,13,76.1,74,2.13,-1.34,2.41,-0.95,1.46,0,0.79,0.57,-18,13
"100",1988,3,63,"Michigan","Boise St",58,14,26,8,87.4,73.8,13.68,9.06,17.17,5.25,22.42,24,6,69.3,56.3,12.97,-0.52,-3.11,14.95,11.84,0,0.76,0.8,-5,11
"101",1988,4,54,"UNLV","Southwest Missouri St",50,13,28,6,84.3,68.2,16.12,5.64,9.84,7.37,17.22,22,7,71.9,63.8,8.14,0.16,-3.21,10.59,7.38,0,0.82,0.76,-4,9
"102",1988,5,102,"Iowa","Florida St",98,12,24,10,93.6,81.4,12.12,9.76,24.65,-2.87,21.79,19,11,84.3,76.3,7.93,3.71,7.86,3.95,11.81,0,0.71,0.63,-4,7
"103",1988,6,62,"Florida","St Johns",59,11,23,12,73.1,68.1,5.06,9.29,4.31,10.04,14.34,17,12,71.3,68.4,2.9,9.13,1.91,10.01,11.93,0,0.66,0.59,-3,5
"104",1988,7,115,"Wyoming","Loyola Marymount",119,10,26,6,78.3,66.7,11.59,3.7,7.29,7.38,14.67,28,4,110.3,97.2,13.06,1.44,37.04,-24.08,12.96,1,0.81,0.88,4,3
"105",1988,1,94,"Oklahoma","Chattanooga",66,16,35,4,102.9,81,21.87,7.61,32.99,-3.51,29.48,20,13,75.5,72.4,3.03,-4.47,-3.18,1.45,-1.73,0,0.9,0.61,-28,15
"106",1988,2,99,"Kentucky","Southern",84,15,27,6,79.6,68.8,10.88,8.87,11.05,7.86,18.9,24,7,95.6,85.4,10.26,-7.49,14.9,-13.6,1.3,0,0.82,0.77,-15,13
"107",1988,3,81,"Illinois","Texas San Antonio",72,14,23,10,82.6,70.9,11.67,9.82,13.21,8.33,21.54,22,9,79.6,73.8,5.84,-0.75,5.05,-1.3,3.75,0,0.7,0.71,-9,11
"108",1988,4,98,"BYU","Charlotte",92,13,26,6,85.5,76.2,9.31,4.08,15.76,-2.36,13.39,22,9,78.7,75.3,3.35,0.61,4.71,-0.72,3.99,0,0.81,0.71,-6,9
"109",1988,5,70,"Louisville","Oregon St",61,12,24,11,82.7,76.2,6.43,9.79,10.49,5.47,15.96,20,11,67.5,63,4.55,6.11,-2.91,13.89,10.98,0,0.69,0.65,-9,7
"110",1988,6,82,"Villanova","Arkansas",74,11,24,13,71.9,68.6,3.24,10.54,2.94,10.98,13.92,21,9,75.5,64.9,10.6,0.61,4.7,6.49,11.18,0,0.65,0.7,-8,5
